kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K03062.01","FALSE POSITIVE","FALSE POSITIVE",0.769127296,0.998,0.9,114.6,17.00
"K03076.01","FALSE POSITIVE","FALSE POSITIVE",225.56791218,6.31,,,
"K03077.01","CONFIRMED","CANDIDATE",4.09578199,1.704,1.64,405.5,11.90
"K00351.04","CONFIRMED","CANDIDATE",91.9401253,9.195,2.62,482.9,34.40
"K03079.01","FALSE POSITIVE","FALSE POSITIVE",92.57337995,8.45,,,
"K03080.01","FALSE POSITIVE","FALSE POSITIVE",185.0097245,17.96,,,
"K03094.01","CONFIRMED","CANDIDATE",4.5770016,0.949,1.33,710,18.00
"K03096.01","CONFIRMED","CANDIDATE",14.4540329,7.183,0.72,79.7,17.20
"K03100.01","FALSE POSITIVE","FALSE POSITIVE",0.812587678,1.1144,1.54,62.9,21.70
"K03102.01","CANDIDATE","CANDIDATE",9.3210841,1.81,0.61,294.2,6.10
"K03103.01","FALSE POSITIVE","FALSE POSITIVE",19.3073774,3.437,1.21,31.7,6.60
"K00068.01","FALSE POSITIVE","FALSE POSITIVE",1.000840564,1.3292,80.25,2714.4,73.20
"K01599.02","CONFIRMED","CANDIDATE",13.6164547,5.175,22.29,376.1,22.60
"K02793.02","CONFIRMED","CANDIDATE",1.766789509,1.3345,1.4,1009.8,26.70
"K03077.02","CANDIDATE","CANDIDATE",7.55842923,2.91,1.46,361.1,10.30
"K00339.03","CONFIRMED","CANDIDATE",35.8656484,8.035,2.44,250.9,26.20
"K00577.02","CONFIRMED","CANDIDATE",0.638162933,1.2313,0.91,109.7,17.60
"K07854.01","FALSE POSITIVE","FALSE POSITIVE",1.72929014,3.609,0.86,84.5,9.60
"K05148.01","FALSE POSITIVE","FALSE POSITIVE",40.301684,1.398,2.38,374.8,6.60
"K05149.01","CANDIDATE","CANDIDATE",43.681309,12.37,1.33,258,9.80
"K05150.01","FALSE POSITIVE","FALSE POSITIVE",26.524553,2.359,2.19,174.5,10.20
"K05151.01","FALSE POSITIVE","FALSE POSITIVE",26.1537851,1.802,1.47,228.6,6.20
"K05152.01","FALSE POSITIVE","FALSE POSITIVE",0.944598153,4.018,37.61,200.9,35.30
"K05153.01","FALSE POSITIVE","FALSE POSITIVE",354.63284,2.227,0.9,280.9,6.50
"K05154.01","FALSE POSITIVE","FALSE POSITIVE",35.40103336,1.75,,,
"K05155.01","CANDIDATE","CANDIDATE",230.180357,13.436,7.57,3689.3,64.00
"K05272.01","FALSE POSITIVE","FALSE POSITIVE",5.2433865,12.472,0.75,65.4,19.20
"K05273.01","FALSE POSITIVE","FALSE POSITIVE",5.2435703,15.864,12.68,228.5,25.10
"K05274.01","CANDIDATE","CANDIDATE",55.7583803,2.497,1.59,132.7,9.00
"K05275.01","CANDIDATE","CANDIDATE",3.781123,8.15,1.16,90.4,9.00
"K05276.01","CANDIDATE","CANDIDATE",220.720142,8.186,2,862.5,12.00
"K05277.01","FALSE POSITIVE","FALSE POSITIVE",634.84739,16.186,20.5,542.6,15.70
"K05278.01","CANDIDATE","CANDIDATE",281.5921577,5.673,7.22,9312,76.00
"K05279.01","CANDIDATE","CANDIDATE",103.722152,6.061,1.95,296.9,9.40
"K03376.01","FALSE POSITIVE","FALSE POSITIVE",29.9756697,2.987,1.84,258,12.00
"K03381.02","FALSE POSITIVE","FALSE POSITIVE",387.56519,13.28,4.02,1083,11.80
"K03447.01","FALSE POSITIVE","FALSE POSITIVE",31.5073649,7.362,0.74,330.5,15.40
"K03453.01","FALSE POSITIVE","FALSE POSITIVE",18.1118457,6.309,31.25,328.7,10.80
"K03463.01","CANDIDATE","CANDIDATE",32.5474295,6.945,1.42,157.1,11.30
"K03478.01","CONFIRMED","CANDIDATE",33.4969115,4.833,2.97,163.5,13.20
"K05030.01","CANDIDATE","CANDIDATE",411.8969,6.203,2.61,502.8,8.50
"K05031.01","FALSE POSITIVE","FALSE POSITIVE",34.33339948,2.45,,,
"K05032.01","FALSE POSITIVE","FALSE POSITIVE",1.389947459,1.193,3.39,1213.8,136.40
"K05033.01","CANDIDATE","CANDIDATE",127.671711,2.637,5.52,450.1,8.00
"K05034.01","FALSE POSITIVE","FALSE POSITIVE",282.5363563,10.3088,70.53,29233.2,854.10
"K05035.01","CANDIDATE","CANDIDATE",115.23145073,2.01,,,
"K05036.01","FALSE POSITIVE","FALSE POSITIVE",289.490952,3.91,2.87,773,6.60
"K05037.01","CANDIDATE","CANDIDATE",349.58811,5.052,134.79,373.3,11.60
"K05156.01","CANDIDATE","CANDIDATE",1.680254289,12.585,30.88,51633,178.70
"K05157.01","FALSE POSITIVE","FALSE POSITIVE",0.782068488,1.239,21.02,115.7,4.10
"K05158.01","CANDIDATE","CANDIDATE",151.13008,3.49,4.41,358,4.60
"K05159.01","FALSE POSITIVE","FALSE POSITIVE",440.65087204,4.07,,,
"K05160.01","CANDIDATE","CANDIDATE",258.63797782,7.11,,,
"K05161.01","FALSE POSITIVE","FALSE POSITIVE",289.76961138,3.19,,,
"K05162.01","CANDIDATE","CANDIDATE",628.15844,12.144,0.95,502.3,14.70
"K05163.01","FALSE POSITIVE","FALSE POSITIVE",273.223848,3.787,8,469.9,10.60
"K05280.01","FALSE POSITIVE","FALSE POSITIVE",0.650701055,0.89164,281.62,371061,234.30
"K05281.01","CANDIDATE","CANDIDATE",263.90141,4.303,23.91,807.1,11.00
"K05282.01","FALSE POSITIVE","FALSE POSITIVE",59.742966,6.78,16.91,284.9,8.60
"K05283.01","CANDIDATE","CANDIDATE",18.7821603,5.573,0.83,77.2,9.80
"K05284.01","CANDIDATE","CANDIDATE",389.316341,5.49,27.61,2599.8,34.70
"K05285.01","FALSE POSITIVE","FALSE POSITIVE",405.32064,7.77,1.34,561.7,6.20
