toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_teff,st_rad
"1156.01","FP",1.6865822,2.4290000,1770.0000000,,,
"1157.01","FP",13.0727479,3.0440000,4080.0000000,35.7944000,5709.8000000,3.5900000
"1158.01","FP",2.9258727,4.0750000,6720.0000000,24.4055000,4884.5000000,1.3000000
"1159.01","FP",0.7377400,0.6360000,524.8520000,5.2821500,6449.5000000,2.1000000
"116.01","KP",2.7985802,2.3801043,16708.7151957,11.9514993,4920.0000000,0.9066550
"1160.01","FP",2.3664127,2.5910000,300.0000000,,,
"1161.01","KP",1.7635881,3.0920000,6650.0000000,,7986.1000000,
"1162.01","PC",7.3166682,3.2550000,3210.0000000,,8730.0000000,
"1163.01","PC",3.0771612,2.6914319,4703.2844346,,9311.3000000,
"1164.01","FP",3.2077145,2.7080000,9640.0000000,,,
"1165.01","KP",2.2552845,2.0500000,20820.0000000,14.6880000,5787.0000000,0.9600000
"1166.01","FP",1.8824539,2.4600000,1391.0000000,8.2900800,5900.4000000,1.1300000
"1167.01","FP",15.1960000,1.7920000,1970.0000000,4.9634500,5807.0000000,1.1400000
"1168.01","FP",2.1358631,1.5590000,10325.0000000,23.6019000,5969.0000000,1.5000000
"1169.01","PC",6.7075429,2.1250000,11920.0000000,17.4647000,6134.3000000,1.2400000
"117.01","KP",3.5862962,3.3710943,5729.3246858,16.4747611,5704.8000000,2.0044100
"1170.01","FP",1.8296155,2.1660000,1406.0000000,29.3616000,7875.0000000,3.5000000
"1171.01","FP",11.1876137,3.1830000,4924.0000000,31.8624000,7266.0000000,2.0500000
"1172.01","FP",7.8513949,6.8350000,22029.0000000,,,
"1173.01","CP",7.0643978,2.4240000,8268.0000000,9.3913100,5429.6000000,0.9600000
"1174.01","CP",8.9534775,2.6960000,1136.0000000,2.3588800,5029.5000000,0.7600000
"1175.01","FP",7.5022708,2.6050000,1760.0000000,5.5581200,6229.0000000,1.2700000
"1176.01","PC",14.0077666,5.8727493,5924.8349672,12.4023108,6557.7000000,1.5743500
"1177.01","FP",1.6928920,2.8860000,1418.0000000,11.2371000,9121.5000000,2.1000000
"1178.01","FP",2.6652007,3.4900000,819.0000000,2.3596400,4043.4000000,0.5600000
"1179.01","APC",1.2615323,1.0390000,2841.0000000,8.6740700,4927.9000000,0.7800000
"118.01","CP",6.0344667,1.8900000,1800.0000000,4.4402900,5586.0000000,1.0500000
"1180.01","CP",9.6867516,2.5120000,1669.0000000,3.0033600,4738.1000000,0.7300000
"1181.01","CP",2.1031647,5.0590000,7142.0000000,16.7087000,6122.0000000,1.9300000
"1182.01","FP",7.6416041,2.6540000,6025.0000000,27.5380000,6496.7000000,2.0500000
"1183.01","FP",5.9294088,2.9330000,10226.0000000,10.8101000,5095.6000000,1.0600000
"1184.01","CP",5.7484439,1.7600000,1041.0000000,2.3521500,4534.0000000,0.6900000
"1185.01","FP",1.1967018,1.8790000,824.0000000,10.3239000,5997.0000000,1.7300000
"1186.01","FP",11.2464616,7.3910000,7576.0000000,17.6677000,6115.7000000,2.0100000
"1187.01","PC",2.5941968,0.8610000,907.0000000,4.4722900,6389.0000000,1.4000000
"1188.01","FP",8.5112000,3.4860000,4172.7600000,,8156.0000000,
"1189.01","PC",3.9687994,1.0700000,1760.0000000,,5286.9000000,
"119.01","PC",5.5411114,2.4670000,633.0000000,2.0448200,5332.0000000,0.8200000
"1231.01","CP",24.2454967,3.3725583,6260.6703602,3.8785680,3535.0000000,0.4652710
"1232.01","PC",14.2545623,4.7250029,7899.6939555,10.7048234,5739.0000000,1.0959700
"1233.01","CP",14.1758947,3.7543827,907.1324529,2.6231641,5723.8700000,0.8641730
